,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,lat,lon
0,2017-01-01,mc010,,37.10723575162566,59.27166445055647,22.25052594670407,26.993279569892472,,14.540586085256495,Wedding,Hintergrund,52.543040999999995,13.349326000000001
1,2017-01-01,mc027,,23.343315695524673,28.96304029070508,31.86629266012155,,,3.729721832632071,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
2,2017-01-01,mc032,,21.578415643107082,25.486316531372633,30.695609113948972,22.380824372759857,,2.507598778811963,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
3,2017-01-01,mc018,,36.22238514173997,52.31060606060606,,,,10.535557184750733,Schöneberg,Hintergrund,52.48581388888889,13.348775
4,2017-01-01,mc143,,55.62856474988312,167.60816970546983,,32.11161757830762,,73.34344319775597,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
5,2017-01-01,mc124,,49.68075035063112,148.4703132304815,,33.83870967741935,,64.67490649836373,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
6,2017-01-01,mc174,0.4760811126694717,48.077956989247305,112.1105656848995,,38.221774193548384,3.449275362318841,41.906030855539974,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
7,2017-01-01,mc145,,22.400782013685234,27.973118279569896,28.977768316302683,,,3.649071358748778,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
8,2017-01-01,mc117,0.5182503506311361,55.08113391984359,139.03824535679374,,31.456638616175784,,54.95063538611926,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
9,2017-01-01,mc282,,30.040689149560116,42.477639296187675,,,2.0355306217858806,8.132942326490713,Karlshorst,Hintergrund,52.485296,13.529504000000001
10,2017-01-01,mc115,,52.077696672191756,126.71202558544776,,,,48.866643291257596,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
11,2017-01-01,mc220,,54.89773258532025,149.56878214118746,,37.061827956989255,,61.97744273024777,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
12,2017-01-01,mc085,,21.03081379817004,25.084351833299944,33.753447872837775,22.02150537634408,,2.672685834502104,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
13,2017-01-01,mc077,,23.01536900780379,32.70887584878889,,22.751128205128204,,6.364716732542819,Buch,Stadtrand,52.64416666666666,13.483055555555556
14,2017-01-01,mc042,,36.930341280972414,53.65591397849463,22.164796633941087,28.056451612903224,,10.935483870967742,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
15,2017-01-01,mc171,,35.113020102851806,48.568957456755506,,26.79178885630498,,8.8065100514259,Mitte,Hintergrund,52.51360555555556,13.418833333333334
