,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,nördliche Breite,östliche Länge
32,2017-01-03,mc143,,36.208333333333336,73.79166666666667,,16.208333333333332,,24.708333333333332,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
33,2017-01-03,mc220,,47.958333333333336,134.58333333333334,,19.416666666666668,,56.791666666666664,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
34,2017-01-03,mc174,0.34166666666666673,41.458333333333336,92.58333333333333,,19.375,0.08333333333333333,33.375,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
35,2017-01-03,mc124,,40.5,103.66666666666667,,17.5,,41.416666666666664,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
36,2017-01-03,mc282,,20.75,23.791666666666668,,,0.375,2.0,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
37,2017-01-03,mc117,0.29999999999999993,29.791666666666668,64.5,,15.875,,22.708333333333332,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
38,2017-01-03,mc018,,16.625,20.625,,,,2.75,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
39,2017-01-03,mc115,,30.708333333333332,59.208333333333336,,,,18.541666666666668,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
40,2017-01-03,mc032,,9.625,9.666666666666666,47.791666666666664,12.125,,0.0,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
41,2017-01-03,mc042,,25.0,31.25,36.75,14.541666666666666,,4.0,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
42,2017-01-03,mc010,,24.681818181818183,31.40909090909091,36.416666666666664,14.416666666666666,,4.545454545454546,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
43,2017-01-03,mc077,,14.625,31.375,,12.5,,10.875,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
44,2017-01-03,mc145,,9.625,9.791666666666666,47.208333333333336,,,0.0,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
45,2017-01-03,mc171,,22.458333333333332,25.916666666666668,,12.208333333333334,,2.1666666666666665,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
46,2017-01-03,mc027,,12.041666666666666,11.875,47.5,,,0.125,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
47,2017-01-03,mc085,,16.25,17.083333333333332,41.708333333333336,11.791666666666666,,0.4583333333333333,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
48,2017-01-04,mc143,,23.416666666666668,35.375,,10.875,,7.833333333333333,143 Silbersteinstraße,Verkehr,"52° 28' 3,04""","13° 26' 29,94"""
49,2017-01-04,mc145,,5.833333333333333,6.666666666666667,63.333333333333336,,,0.625,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
50,2017-01-04,mc171,,18.708333333333332,21.291666666666668,,7.958333333333333,,1.7083333333333333,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
51,2017-01-04,mc124,,40.791666666666664,100.83333333333333,,12.791666666666666,,39.291666666666664,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
52,2017-01-04,mc018,,16.0,17.541666666666668,,,,0.9166666666666666,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
53,2017-01-04,mc027,,10.375,10.375,62.875,,,0.0,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
54,2017-01-04,mc032,,5.083333333333333,5.125,64.58333333333333,7.541666666666667,,0.0,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
55,2017-01-04,mc042,,20.083333333333332,25.375,53.041666666666664,10.166666666666666,,3.4583333333333335,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
56,2017-01-04,mc174,0.27499999999999997,36.791666666666664,70.45833333333333,,12.666666666666666,1.3333333333333333,22.083333333333332,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
57,2017-01-04,mc115,,23.5,39.875,,,,10.625,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
58,2017-01-04,mc085,,10.875,10.875,60.041666666666664,7.541666666666667,,0.0,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
59,2017-01-04,mc010,,19.636363636363637,24.545454545454547,54.583333333333336,6.916666666666667,,3.3181818181818183,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
60,2017-01-04,mc220,,43.833333333333336,103.08333333333333,,14.666666666666666,,38.791666666666664,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
61,2017-01-04,mc282,,15.833333333333334,19.333333333333332,,,1.625,2.2083333333333335,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
62,2017-01-04,mc117,0.27083333333333326,30.416666666666668,59.166666666666664,,10.75,,18.75,117 Schildhornstraße,Verkehr,"52° 27' 49,00""","13° 19' 5,70"""
